System,Model,Sample,CR1-TC1,CR1-TC2,CR1-TC3,CR1-TC4,CR1-TC5,CR2-TC1,CR2-TC2,CR2-TC3,CR2-TC4,CR2-TC5,CR3-TC1,CR3-TC2,CR3-TC3,CR3-TC4,CR3-TC5,CR4-TC1,CR4-TC2,CR4-TC3,CR4-TC4,CR4-TC5,CR5-TC1,CR5-TC2,CR5-TC3,CR5-TC4,CR5-TC5
AcademicProgram,gpt-oss-120b,academic1,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
AcademicProgram,gpt-oss-120b,academic2,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
AcademicProgram,gpt-oss-120b,academic3,√,√,×,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
AcademicProgram,gpt-oss-120b,academic4,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
AcademicProgram,gpt-oss-120b,academic5,√,×,×,√,×,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
AcademicProgram,qwen3-coder,academic1,√,√,×,√,√,√,√,√,√,√,√,√,×,√,√,√,√,√,√,√,√,√,√,√,√
AcademicProgram,qwen3-coder,academic2,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
AcademicProgram,qwen3-coder,academic3,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
AcademicProgram,qwen3-coder,academic4,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
AcademicProgram,qwen3-coder,academic5,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
AcademicProgram,deepseek-v3.2-exp,academic1,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
AcademicProgram,deepseek-v3.2-exp,academic2,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
AcademicProgram,deepseek-v3.2-exp,academic3,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
AcademicProgram,deepseek-v3.2-exp,academic4,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
AcademicProgram,deepseek-v3.2-exp,academic5,√,√,×,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√,√
